,ï»¿ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_rating_range,Customer_loyalty,Discount_%_range
34,35,C,Ship,4,2,227,4,medium,F,22,2460,1,Rating 1 - 3,Not Loyal,(21% - 40%)
35,36,F,Ship,5,4,149,3,medium,F,44,1811,1,Rating 4 - 5,Not Loyal,(41% - 60%)
36,37,D,Ship,3,5,137,4,high,F,62,1477,1,Rating 4 - 5,Not Loyal,(61% - 80%)
37,38,F,Ship,2,4,181,6,medium,F,16,3605,1,Rating 4 - 5,Loyal,(0% - 20%)
38,39,A,Ship,5,1,215,4,low,F,56,3905,1,Rating 1 - 3,Not Loyal,(41% - 60%)
39,40,B,Ship,4,2,269,5,low,F,45,2383,1,Rating 1 - 3,Loyal,(41% - 60%)
40,41,C,Ship,5,1,227,2,low,M,15,3798,1,Rating 1 - 3,Not Loyal,(0% - 20%)
41,42,F,Ship,5,5,139,4,medium,M,61,1265,1,Rating 4 - 5,Not Loyal,(61% - 80%)
42,43,D,Ship,3,5,137,2,medium,M,38,1647,1,Rating 4 - 5,Not Loyal,(21% - 40%)
43,44,F,Ship,3,1,174,2,low,M,44,1556,1,Rating 1 - 3,Not Loyal,(41% - 60%)
44,45,A,Ship,3,1,151,2,low,M,29,1328,1,Rating 1 - 3,Not Loyal,(21% - 40%)
45,46,B,Ship,5,1,210,3,low,F,9,2944,1,Rating 1 - 3,Not Loyal,(0% - 20%)
46,47,C,Ship,3,4,169,4,medium,F,32,1245,1,Rating 4 - 5,Not Loyal,(21% - 40%)
47,48,F,Ship,5,1,160,2,low,M,32,1576,1,Rating 1 - 3,Not Loyal,(21% - 40%)
48,49,D,Ship,5,4,190,2,medium,M,9,3753,1,Rating 4 - 5,Not Loyal,(0% - 20%)
49,50,F,Ship,5,3,216,3,low,F,40,2146,1,Rating 1 - 3,Not Loyal,(21% - 40%)
50,51,A,Ship,4,1,183,3,low,M,37,2042,1,Rating 1 - 3,Not Loyal,(21% - 40%)
51,52,B,Ship,4,4,141,3,low,M,22,1735,1,Rating 4 - 5,Not Loyal,(21% - 40%)
52,53,C,Ship,4,3,165,3,low,F,44,1320,1,Rating 1 - 3,Not Loyal,(41% - 60%)
53,54,F,Ship,2,1,170,3,low,M,41,1128,1,Rating 1 - 3,Not Loyal,(41% - 60%)
54,55,D,Ship,4,3,203,3,high,M,12,3539,1,Rating 1 - 3,Not Loyal,(0% - 20%)
55,56,F,Ship,2,5,246,5,low,M,46,2437,1,Rating 4 - 5,Loyal,(41% - 60%)
56,57,A,Ship,3,3,238,3,low,F,61,3096,1,Rating 1 - 3,Not Loyal,(61% - 80%)
57,58,B,Ship,3,3,193,3,medium,F,29,3453,1,Rating 1 - 3,Not Loyal,(21% - 40%)
58,59,C,Ship,5,5,141,3,high,M,41,1367,1,Rating 4 - 5,Not Loyal,(41% - 60%)
59,60,F,Ship,4,1,150,3,high,F,17,1923,1,Rating 1 - 3,Not Loyal,(0% - 20%)
60,61,D,Ship,3,1,221,3,low,F,64,2794,1,Rating 1 - 3,Not Loyal,(61% - 80%)
61,62,F,Ship,3,3,179,3,medium,M,52,1158,1,Rating 1 - 3,Not Loyal,(41% - 60%)
62,63,A,Ship,5,1,105,6,medium,M,62,1292,1,Rating 1 - 3,Loyal,(61% - 80%)
63,64,B,Ship,3,1,177,3,medium,M,61,1880,1,Rating 1 - 3,Not Loyal,(61% - 80%)
64,65,C,Ship,4,5,261,2,high,M,49,3045,1,Rating 4 - 5,Not Loyal,(41% - 60%)
65,66,F,Ship,3,2,202,3,low,M,49,2881,1,Rating 1 - 3,Not Loyal,(41% - 60%)
66,67,D,Ship,3,2,109,3,medium,F,15,1710,1,Rating 1 - 3,Not Loyal,(0% - 20%)
67,68,F,Ship,3,3,158,3,low,F,6,1878,1,Rating 1 - 3,Not Loyal,(0% - 20%)
68,69,A,Ship,4,2,231,4,medium,F,6,2512,1,Rating 1 - 3,Not Loyal,(0% - 20%)
69,70,B,Ship,3,5,206,3,medium,M,39,2929,1,Rating 4 - 5,Not Loyal,(21% - 40%)
70,71,C,Ship,5,1,187,4,high,M,14,3849,1,Rating 1 - 3,Not Loyal,(0% - 20%)
71,72,F,Ship,5,5,230,2,low,F,2,2229,1,Rating 4 - 5,Not Loyal,(0% - 20%)
72,73,D,Ship,5,5,232,3,medium,F,33,2998,1,Rating 4 - 5,Not Loyal,(21% - 40%)
73,74,F,Ship,4,5,215,3,medium,F,21,3984,1,Rating 4 - 5,Not Loyal,(21% - 40%)
74,75,A,Ship,6,1,238,6,low,F,13,2442,1,Rating 1 - 3,Loyal,(0% - 20%)
75,76,B,Ship,4,1,266,3,low,F,23,3775,1,Rating 1 - 3,Not Loyal,(21% - 40%)
76,77,C,Ship,2,3,158,2,medium,F,36,1788,1,Rating 1 - 3,Not Loyal,(21% - 40%)
77,78,F,Ship,3,3,113,3,low,F,43,1518,1,Rating 1 - 3,Not Loyal,(41% - 60%)
78,79,D,Ship,3,4,223,3,low,M,18,3959,1,Rating 4 - 5,Not Loyal,(0% - 20%)
79,80,F,Ship,3,5,257,2,medium,F,56,3711,1,Rating 4 - 5,Not Loyal,(41% - 60%)
80,81,A,Ship,3,4,180,2,medium,F,49,1942,1,Rating 4 - 5,Not Loyal,(41% - 60%)
81,82,B,Ship,2,5,132,3,low,M,18,1759,1,Rating 4 - 5,Not Loyal,(0% - 20%)
82,83,C,Ship,4,4,217,3,high,F,26,2875,1,Rating 4 - 5,Not Loyal,(21% - 40%)
83,84,F,Ship,5,5,162,3,high,F,31,1364,1,Rating 4 - 5,Not Loyal,(21% - 40%)
84,85,D,Ship,4,5,197,2,medium,F,40,2710,1,Rating 4 - 5,Not Loyal,(21% - 40%)
85,86,F,Ship,3,4,197,3,medium,M,13,2148,1,Rating 4 - 5,Not Loyal,(0% - 20%)
86,87,A,Ship,4,1,185,2,low,M,44,2910,1,Rating 1 - 3,Not Loyal,(41% - 60%)
87,88,B,Ship,6,2,278,3,medium,F,3,2974,1,Rating 1 - 3,Not Loyal,(0% - 20%)
88,89,C,Ship,3,3,229,3,low,M,49,2339,1,Rating 1 - 3,Not Loyal,(41% - 60%)
89,90,F,Ship,4,1,186,4,medium,F,57,3880,1,Rating 1 - 3,Not Loyal,(41% - 60%)
90,91,D,Ship,5,3,174,6,high,F,41,1085,1,Rating 1 - 3,Loyal,(41% - 60%)
91,92,F,Ship,5,5,286,3,low,F,18,3163,1,Rating 4 - 5,Not Loyal,(0% - 20%)
92,93,A,Ship,4,4,175,2,medium,F,7,1188,1,Rating 4 - 5,Not Loyal,(0% - 20%)
93,94,B,Ship,3,3,219,3,medium,F,17,3387,1,Rating 1 - 3,Not Loyal,(0% - 20%)
94,95,C,Ship,4,1,213,4,high,F,35,2343,1,Rating 1 - 3,Not Loyal,(21% - 40%)
95,96,F,Ship,2,3,235,3,low,M,57,2034,1,Rating 1 - 3,Not Loyal,(41% - 60%)
96,97,D,Ship,3,3,149,2,medium,M,18,1225,1,Rating 1 - 3,Not Loyal,(0% - 20%)
97,98,F,Ship,4,1,271,2,medium,F,8,2401,1,Rating 1 - 3,Not Loyal,(0% - 20%)
98,99,A,Ship,3,5,144,4,medium,M,5,1104,1,Rating 4 - 5,Not Loyal,(0% - 20%)
99,100,B,Ship,4,2,145,2,medium,M,21,1617,1,Rating 1 - 3,Not Loyal,(21% - 40%)
100,101,C,Ship,5,3,143,2,medium,M,59,1837,1,Rating 1 - 3,Not Loyal,(41% - 60%)
101,102,F,Ship,5,5,227,4,low,M,53,2624,1,Rating 4 - 5,Not Loyal,(41% - 60%)
102,103,D,Ship,2,1,213,3,low,M,29,2732,1,Rating 1 - 3,Not Loyal,(21% - 40%)
103,104,F,Ship,5,1,144,4,low,M,37,1658,1,Rating 1 - 3,Not Loyal,(21% - 40%)
104,105,A,Ship,3,3,218,3,low,M,3,2255,1,Rating 1 - 3,Not Loyal,(0% - 20%)
105,106,B,Ship,4,2,144,3,medium,M,59,1588,1,Rating 1 - 3,Not Loyal,(41% - 60%)
106,107,C,Ship,3,1,238,3,low,M,17,2624,1,Rating 1 - 3,Not Loyal,(0% - 20%)
107,108,F,Ship,4,5,216,3,high,M,26,2053,1,Rating 4 - 5,Not Loyal,(21% - 40%)
108,109,D,Ship,4,5,238,3,high,F,55,3257,1,Rating 4 - 5,Not Loyal,(41% - 60%)
109,110,F,Ship,4,1,141,3,medium,M,47,1250,1,Rating 1 - 3,Not Loyal,(41% - 60%)
110,111,A,Road,3,1,158,2,low,M,2,1284,1,Rating 1 - 3,Not Loyal,(0% - 20%)
111,112,B,Road,4,2,239,3,low,F,65,3679,1,Rating 1 - 3,Not Loyal,(61% - 80%)
112,113,C,Road,4,3,175,2,low,M,25,1816,1,Rating 1 - 3,Not Loyal,(21% - 40%)
113,114,F,Road,3,2,263,3,low,M,41,2817,1,Rating 1 - 3,Not Loyal,(41% - 60%)
114,115,D,Road,3,5,168,2,high,M,50,1616,1,Rating 4 - 5,Not Loyal,(41% - 60%)
115,116,F,Road,3,4,176,3,high,M,36,1779,1,Rating 4 - 5,Not Loyal,(21% - 40%)
116,117,A,Road,4,1,150,4,high,M,60,1024,1,Rating 1 - 3,Not Loyal,(41% - 60%)
117,118,B,Road,4,3,265,2,medium,F,31,2326,1,Rating 1 - 3,Not Loyal,(21% - 40%)
118,119,C,Road,2,5,263,3,low,F,5,2947,1,Rating 4 - 5,Not Loyal,(0% - 20%)
119,120,F,Road,5,1,145,3,low,M,20,1387,1,Rating 1 - 3,Not Loyal,(0% - 20%)
120,121,D,Road,4,2,183,3,low,F,33,2741,1,Rating 1 - 3,Not Loyal,(21% - 40%)
121,122,F,Road,3,3,205,3,medium,F,19,2167,1,Rating 1 - 3,Not Loyal,(0% - 20%)
122,123,A,Road,4,2,160,3,low,M,64,1714,1,Rating 1 - 3,Not Loyal,(61% - 80%)
123,124,B,Road,3,3,252,2,medium,F,48,2102,1,Rating 1 - 3,Not Loyal,(41% - 60%)
124,125,C,Road,5,5,222,3,low,M,10,2280,1,Rating 4 - 5,Not Loyal,(0% - 20%)
125,126,F,Road,3,3,203,2,low,M,25,3607,1,Rating 1 - 3,Not Loyal,(21% - 40%)
126,127,D,Road,4,5,220,3,medium,M,40,3516,1,Rating 4 - 5,Not Loyal,(21% - 40%)
127,128,F,Road,3,3,147,4,low,F,60,1722,1,Rating 1 - 3,Not Loyal,(41% - 60%)
128,129,A,Road,4,4,200,4,medium,M,16,2060,1,Rating 4 - 5,Not Loyal,(0% - 20%)
129,130,B,Road,4,5,224,4,medium,M,21,2026,1,Rating 4 - 5,Not Loyal,(21% - 40%)
130,131,C,Road,3,5,179,2,low,F,17,1364,1,Rating 4 - 5,Not Loyal,(0% - 20%)
131,132,F,Road,3,4,144,3,low,M,50,1865,1,Rating 4 - 5,Not Loyal,(41% - 60%)
132,133,D,Flight,5,2,247,3,low,M,17,3889,1,Rating 1 - 3,Not Loyal,(0% - 20%)
133,134,F,Flight,5,4,280,6,medium,F,51,3582,1,Rating 4 - 5,Loyal,(41% - 60%)
134,135,A,Flight,3,3,168,2,medium,F,1,1829,1,Rating 1 - 3,Not Loyal,(0% - 20%)
135,136,B,Flight,3,5,157,3,medium,F,4,1889,1,Rating 4 - 5,Not Loyal,(0% - 20%)
136,137,C,Flight,3,3,189,4,medium,F,51,2208,1,Rating 1 - 3,Not Loyal,(41% - 60%)
137,138,F,Flight,3,5,162,2,medium,M,7,1739,1,Rating 4 - 5,Not Loyal,(0% - 20%)
138,139,D,Flight,4,1,207,5,low,M,48,2399,1,Rating 1 - 3,Loyal,(41% - 60%)
139,140,F,Flight,5,1,237,2,low,F,10,3860,1,Rating 1 - 3,Not Loyal,(0% - 20%)
140,141,A,Flight,4,4,264,3,high,M,59,2020,1,Rating 4 - 5,Not Loyal,(41% - 60%)
141,142,B,Flight,5,4,149,3,low,M,51,1645,1,Rating 4 - 5,Not Loyal,(41% - 60%)
142,143,C,Flight,5,5,162,3,low,M,41,1462,1,Rating 4 - 5,Not Loyal,(41% - 60%)
143,144,F,Flight,2,1,205,4,medium,F,63,2156,1,Rating 1 - 3,Not Loyal,(61% - 80%)
144,145,D,Flight,2,1,158,3,medium,F,51,1540,1,Rating 1 - 3,Not Loyal,(41% - 60%)
145,146,F,Flight,2,2,248,2,low,M,46,3707,1,Rating 1 - 3,Not Loyal,(41% - 60%)
146,147,A,Flight,3,5,191,3,low,M,23,3750,1,Rating 4 - 5,Not Loyal,(21% - 40%)
147,148,B,Flight,4,3,146,4,medium,F,24,1844,1,Rating 1 - 3,Not Loyal,(21% - 40%)
148,149,C,Flight,3,3,135,3,low,M,56,1490,1,Rating 1 - 3,Not Loyal,(41% - 60%)
149,150,F,Flight,5,1,149,3,low,M,40,1062,1,Rating 1 - 3,Not Loyal,(21% - 40%)
150,151,D,Flight,4,4,220,2,medium,F,7,2551,1,Rating 4 - 5,Not Loyal,(0% - 20%)
151,152,F,Flight,5,3,98,5,medium,M,44,1269,1,Rating 1 - 3,Loyal,(41% - 60%)
152,153,A,Flight,3,4,97,4,low,M,32,1238,1,Rating 4 - 5,Not Loyal,(21% - 40%)
153,154,B,Flight,3,3,183,2,low,M,53,3932,1,Rating 1 - 3,Not Loyal,(41% - 60%)
154,155,C,Ship,3,3,162,3,medium,F,8,1869,1,Rating 1 - 3,Not Loyal,(0% - 20%)
155,156,F,Ship,5,1,114,4,low,F,47,1443,1,Rating 1 - 3,Not Loyal,(41% - 60%)
156,157,D,Ship,6,3,275,5,low,M,41,2491,1,Rating 1 - 3,Loyal,(41% - 60%)
157,158,F,Ship,3,2,203,2,medium,F,39,3845,1,Rating 1 - 3,Not Loyal,(21% - 40%)
158,159,A,Ship,5,5,205,2,high,M,65,3671,1,Rating 4 - 5,Not Loyal,(61% - 80%)
159,160,B,Ship,3,3,149,3,low,F,63,1946,1,Rating 1 - 3,Not Loyal,(61% - 80%)
160,161,C,Ship,2,2,112,4,medium,M,56,1138,1,Rating 1 - 3,Not Loyal,(41% - 60%)
161,162,F,Ship,3,1,207,3,medium,F,56,3482,1,Rating 1 - 3,Not Loyal,(41% - 60%)
162,163,D,Ship,4,1,261,4,low,F,58,3427,1,Rating 1 - 3,Not Loyal,(41% - 60%)
163,164,F,Ship,5,2,274,3,medium,M,6,3375,1,Rating 1 - 3,Not Loyal,(0% - 20%)
164,165,A,Ship,3,5,141,2,low,M,52,1692,1,Rating 4 - 5,Not Loyal,(41% - 60%)
165,166,B,Ship,3,3,166,4,medium,F,17,1498,1,Rating 1 - 3,Not Loyal,(0% - 20%)
166,167,C,Ship,5,2,141,3,high,F,34,1020,1,Rating 1 - 3,Not Loyal,(21% - 40%)
167,168,F,Ship,4,5,152,3,low,M,43,1709,1,Rating 4 - 5,Not Loyal,(41% - 60%)
168,169,D,Ship,4,2,250,3,low,F,53,2478,1,Rating 1 - 3,Not Loyal,(41% - 60%)
169,170,F,Ship,4,3,161,3,medium,F,28,1809,1,Rating 1 - 3,Not Loyal,(21% - 40%)
170,171,A,Ship,4,3,185,3,medium,F,10,2263,1,Rating 1 - 3,Not Loyal,(0% - 20%)
171,172,B,Ship,4,4,176,4,high,F,52,1096,1,Rating 4 - 5,Not Loyal,(41% - 60%)
172,173,C,Ship,3,4,148,3,low,M,56,1550,1,Rating 4 - 5,Not Loyal,(41% - 60%)
173,174,F,Ship,3,2,270,3,low,F,63,2751,1,Rating 1 - 3,Not Loyal,(61% - 80%)
174,175,D,Ship,3,3,242,3,low,F,51,3935,1,Rating 1 - 3,Not Loyal,(41% - 60%)
175,176,F,Ship,4,4,150,2,medium,M,3,1285,1,Rating 4 - 5,Not Loyal,(0% - 20%)
176,177,A,Ship,4,5,192,3,high,M,20,3872,1,Rating 4 - 5,Not Loyal,(0% - 20%)
177,178,B,Ship,4,5,116,3,medium,M,54,1314,1,Rating 4 - 5,Not Loyal,(41% - 60%)
178,179,C,Ship,3,3,192,3,medium,F,2,3995,1,Rating 1 - 3,Not Loyal,(0% - 20%)
179,180,F,Ship,5,5,255,4,medium,M,3,3440,1,Rating 4 - 5,Not Loyal,(0% - 20%)
180,181,D,Ship,4,1,161,7,medium,F,18,1294,1,Rating 1 - 3,Loyal,(0% - 20%)
181,182,F,Ship,4,5,157,3,low,M,20,1487,1,Rating 4 - 5,Not Loyal,(0% - 20%)
182,183,A,Ship,3,2,164,10,high,F,28,1940,1,Rating 1 - 3,Loyal,(21% - 40%)
183,184,B,Ship,3,5,162,7,medium,F,16,1052,1,Rating 4 - 5,Loyal,(0% - 20%)
184,185,C,Ship,3,3,146,2,low,M,50,1486,1,Rating 1 - 3,Not Loyal,(41% - 60%)
185,186,F,Ship,3,2,209,3,medium,M,54,3001,1,Rating 1 - 3,Not Loyal,(41% - 60%)
186,187,D,Ship,5,4,134,2,medium,F,55,1386,1,Rating 4 - 5,Not Loyal,(41% - 60%)
187,188,F,Ship,2,1,222,2,medium,M,5,3778,1,Rating 1 - 3,Not Loyal,(0% - 20%)
188,189,A,Ship,2,5,139,3,low,F,27,1233,1,Rating 4 - 5,Not Loyal,(21% - 40%)
189,190,B,Ship,2,4,134,3,low,F,42,1415,1,Rating 4 - 5,Not Loyal,(41% - 60%)
190,191,C,Ship,2,5,130,3,low,M,16,1092,1,Rating 4 - 5,Not Loyal,(0% - 20%)
191,192,F,Ship,2,5,133,3,low,F,62,1596,1,Rating 4 - 5,Not Loyal,(61% - 80%)
192,193,D,Ship,2,4,140,3,low,F,7,1411,1,Rating 4 - 5,Not Loyal,(0% - 20%)
193,194,F,Ship,2,2,158,3,low,M,28,1968,1,Rating 1 - 3,Not Loyal,(21% - 40%)
194,195,A,Ship,4,2,270,4,low,F,46,1736,1,Rating 1 - 3,Not Loyal,(41% - 60%)
195,196,B,Ship,2,5,140,3,low,F,30,1030,1,Rating 4 - 5,Not Loyal,(21% - 40%)
196,197,C,Ship,2,2,135,3,low,M,15,1339,1,Rating 1 - 3,Not Loyal,(0% - 20%)
197,198,F,Ship,2,3,136,3,low,F,19,1568,1,Rating 1 - 3,Not Loyal,(0% - 20%)
198,199,D,Ship,2,3,142,3,medium,F,38,7640,1,Rating 1 - 3,Not Loyal,(21% - 40%)
199,200,F,Ship,2,2,154,3,medium,M,38,7846,1,Rating 1 - 3,Not Loyal,(21% - 40%)
200,201,A,Ship,2,3,139,3,low,M,9,1471,1,Rating 1 - 3,Not Loyal,(0% - 20%)
201,202,B,Ship,2,3,160,3,low,F,43,1251,1,Rating 1 - 3,Not Loyal,(41% - 60%)
202,203,C,Ship,2,4,134,3,low,M,58,1067,1,Rating 4 - 5,Not Loyal,(41% - 60%)
203,204,F,Ship,5,3,161,5,high,M,48,1883,1,Rating 1 - 3,Loyal,(41% - 60%)
204,205,D,Ship,2,5,155,3,low,M,23,1602,1,Rating 4 - 5,Not Loyal,(21% - 40%)
205,206,F,Ship,2,3,145,3,medium,F,24,7588,1,Rating 1 - 3,Not Loyal,(21% - 40%)
206,207,A,Ship,2,2,157,3,low,M,1,1477,1,Rating 1 - 3,Not Loyal,(0% - 20%)
207,208,B,Ship,2,2,160,3,low,M,48,1691,1,Rating 1 - 3,Not Loyal,(41% - 60%)
208,209,C,Ship,2,4,152,3,low,M,55,1498,1,Rating 4 - 5,Not Loyal,(41% - 60%)
209,210,F,Ship,2,5,148,3,high,F,11,1502,1,Rating 4 - 5,Not Loyal,(0% - 20%)
210,211,D,Ship,2,1,127,3,low,F,15,1522,1,Rating 1 - 3,Not Loyal,(0% - 20%)
211,212,F,Ship,2,5,154,3,low,F,21,1113,1,Rating 4 - 5,Not Loyal,(21% - 40%)
212,213,A,Ship,2,5,127,3,low,M,44,1341,1,Rating 4 - 5,Not Loyal,(41% - 60%)
213,214,B,Ship,2,5,160,3,medium,F,31,7401,1,Rating 4 - 5,Not Loyal,(21% - 40%)
214,215,C,Ship,2,4,129,3,low,F,48,1219,1,Rating 4 - 5,Not Loyal,(41% - 60%)
215,216,F,Ship,2,5,158,3,low,F,40,1722,1,Rating 4 - 5,Not Loyal,(21% - 40%)
216,217,D,Ship,4,3,185,3,medium,M,3,3131,1,Rating 1 - 3,Not Loyal,(0% - 20%)
217,218,F,Ship,4,4,176,4,high,F,63,1293,1,Rating 4 - 5,Not Loyal,(61% - 80%)
218,219,A,Ship,3,4,148,3,low,M,37,1523,1,Rating 4 - 5,Not Loyal,(21% - 40%)
219,220,B,Ship,3,5,270,3,low,M,60,3885,1,Rating 4 - 5,Not Loyal,(41% - 60%)
220,221,C,Ship,3,4,242,3,low,M,29,2381,1,Rating 4 - 5,Not Loyal,(21% - 40%)
221,222,F,Ship,4,3,150,2,medium,M,31,1588,1,Rating 1 - 3,Not Loyal,(21% - 40%)
222,223,D,Ship,4,2,192,3,high,M,4,2061,1,Rating 1 - 3,Not Loyal,(0% - 20%)
223,224,F,Ship,4,5,116,3,medium,F,9,1314,1,Rating 4 - 5,Not Loyal,(0% - 20%)
224,225,A,Ship,3,4,192,3,medium,F,31,3331,1,Rating 4 - 5,Not Loyal,(21% - 40%)
225,226,B,Ship,5,4,255,4,medium,F,38,2771,1,Rating 4 - 5,Not Loyal,(21% - 40%)
226,227,C,Ship,4,3,161,7,medium,M,63,1496,1,Rating 1 - 3,Loyal,(61% - 80%)
227,228,F,Ship,4,2,157,3,low,F,48,1393,1,Rating 1 - 3,Not Loyal,(41% - 60%)
228,229,D,Ship,3,2,164,10,high,M,14,1375,1,Rating 1 - 3,Loyal,(0% - 20%)
229,230,F,Ship,3,3,162,7,medium,F,42,1278,1,Rating 1 - 3,Loyal,(41% - 60%)
230,231,A,Ship,3,1,146,2,low,F,54,1528,1,Rating 1 - 3,Not Loyal,(41% - 60%)
231,232,B,Ship,3,4,209,3,medium,F,60,2240,1,Rating 4 - 5,Not Loyal,(41% - 60%)
232,233,C,Ship,5,5,134,2,medium,M,53,1088,1,Rating 4 - 5,Not Loyal,(41% - 60%)
233,234,F,Ship,2,1,222,2,medium,M,58,3626,1,Rating 1 - 3,Not Loyal,(41% - 60%)
234,235,D,Ship,2,1,139,3,low,F,39,1582,1,Rating 1 - 3,Not Loyal,(21% - 40%)
235,236,F,Ship,2,2,134,3,low,M,38,1352,1,Rating 1 - 3,Not Loyal,(21% - 40%)
236,237,A,Ship,2,3,130,3,low,F,48,1801,1,Rating 1 - 3,Not Loyal,(41% - 60%)
237,238,B,Ship,2,2,133,3,low,M,5,1268,1,Rating 1 - 3,Not Loyal,(0% - 20%)
238,239,C,Ship,2,3,140,3,low,F,23,1372,1,Rating 1 - 3,Not Loyal,(21% - 40%)
239,240,F,Ship,2,3,158,3,low,M,10,1515,1,Rating 1 - 3,Not Loyal,(0% - 20%)
240,241,D,Ship,4,5,270,4,low,M,65,1818,1,Rating 4 - 5,Not Loyal,(61% - 80%)
241,242,F,Ship,2,4,140,3,low,F,33,1278,1,Rating 4 - 5,Not Loyal,(21% - 40%)
242,243,A,Ship,2,2,135,3,low,M,58,1734,1,Rating 1 - 3,Not Loyal,(41% - 60%)
243,244,B,Ship,2,4,136,3,low,M,43,1958,1,Rating 4 - 5,Not Loyal,(41% - 60%)
244,245,C,Ship,2,1,142,3,medium,F,8,6064,1,Rating 1 - 3,Not Loyal,(0% - 20%)
245,246,F,Ship,2,4,154,3,medium,F,48,7684,1,Rating 4 - 5,Not Loyal,(41% - 60%)
246,247,D,Ship,2,3,139,3,low,F,3,1788,1,Rating 1 - 3,Not Loyal,(0% - 20%)
247,248,F,Road,2,4,160,3,low,F,50,1030,1,Rating 4 - 5,Not Loyal,(41% - 60%)
248,249,A,Road,2,2,134,3,low,F,38,1530,1,Rating 1 - 3,Not Loyal,(21% - 40%)
